source,can_id,count,mean_iat_ms,std_iat_ms,min_iat_ms,max_iat_ms,mean_dlc,mean_entropy,std_entropy,byte0_mean,byte0_std,byte0_min,byte0_max,byte0_unique_vals,byte1_mean,byte1_std,byte1_min,byte1_max,byte1_unique_vals,byte2_mean,byte2_std,byte2_min,byte2_max,byte2_unique_vals,byte3_mean,byte3_std,byte3_min,byte3_max,byte3_unique_vals,byte4_mean,byte4_std,byte4_min,byte4_max,byte4_unique_vals,byte5_mean,byte5_std,byte5_min,byte5_max,byte5_unique_vals,byte6_mean,byte6_std,byte6_min,byte6_max,byte6_unique_vals,byte7_mean,byte7_std,byte7_min,byte7_max,byte7_unique_vals
attack_free,0x18,5191,199.88536743737956,4.200234270562817,29.888000000028114,200.2949999999828,8.0,2.147737553277255,0.22813382998002119,40.0,0.0,40,40,1,0.0,0.0,0,0,1,0.29531882103640916,0.45622988985715546,0.0,1.0,2,112.0,0.0,112.0,112.0,1,0.295511462146022,0.456316283398695,0.0,1.0,2,0.0,0.0,0.0,0.0,1,32.0,0.0,32.0,32.0,1,16.0,0.0,16.0,16.0,1
attack_free,0x34,1038,1000.0048543876566,0.10576453994379797,999.7139999999831,1000.295000000051,8.0,0.0,0.0,0.0,0.0,0,0,1,0.0,0.0,0,0,1,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,1
attack_free,0x42,1038,1000.049912246866,0.12765712807270216,999.4380000000547,1000.536000000011,8.0,0.9544340029249647,3.332274602565425e-16,255.0,0.0,255,255,1,0.0,0.0,0,0,1,255.0,0.0,255.0,255.0,1,255.0,0.0,255.0,255.0,1,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,1
attack_free,0x43,1038,1000.0499151398266,0.128183182161102,999.4400000000496,1000.5380000000059,8.0,0.5435644431995963,1.1107582008551418e-16,1.0,0.0,1,1,1,0.0,0.0,0,0,1,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,1
attack_free,0x44,1038,1000.0499180327869,0.3066635490807407,999.005000000011,1001.0219999999777,8.0,1.0612781244591327,2.2215164017102837e-16,0.0,0.0,0,0,1,0.0,0.0,0,0,1,0.0,0.0,0.0,0.0,1,255.0,0.0,255.0,255.0,1,111.0,0.0,111.0,111.0,1,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,1
attack_free,0x50,5191,199.885370327553,4.0946201475403425,40.002000000015414,200.2729999999815,4.0,0.8112781244591326,2.2206599547514355e-16,0.0,0.0,0,0,1,128.59083028318244,0.9124406198093812,128,130,3,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,1,,,,,0,,,,,0,,,,,0,,,,,0
attack_free,0x80,103759,10.000032045721776,0.39929085120382046,8.243999999990592,11.609999999961929,8.0,2.5034338743340956,0.23518076192703619,0.0,0.0,0,0,1,23.0,0.0,23,23,1,192.63194518065902,57.92456193472796,0.0,254.0,128,9.131448838173075,0.3388890500437167,9.0,11.0,3,25.953045037057027,3.543466121776292,20.0,36.0,17,22.852571825094692,1.1887119156924273,19.0,26.0,6,26.02889387908519,3.5648778134418806,20.0,36.0,17,127.65788028026485,73.74631130896906,0.0,255.0,256
attack_free,0x81,103759,10.0000320649974,0.40082562524034787,8.246000000013964,11.957000000052176,8.0,1.99362558330074,0.04338171546627687,127.0,0.0,127,127,1,132.0,0.0,132,132,1,104.07671623666381,4.93335891783555,96.0,112.0,17,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,1,127.499667498723,74.07289925265819,0.0,255.0,256
attack_free,0xa0,10376,100.00083624096384,4.309674176405503,89.99399999999991,110.24499999999193,8.0,2.744472314413654,0.039632492459096155,67.7124132613724,4.889603834169624,62,79,18,125.22340015420201,3.028032220270074,117,131,15,192.29838087895143,56.813794534658456,0.0,254.0,127,9.128951426368543,0.33516232233810783,9.0,10.0,2,0.0,0.0,0.0,0.0,1,35.94255975327679,0.8317648887541127,34.0,38.0,5,0.0,0.0,0.0,0.0,1,2.0,0.0,2.0,2.0,1
attack_free,0xa1,10376,100.00083662650601,4.344815518671074,89.98900000000009,110.27400000000398,8.0,1.9261016736355419,0.16212981759045564,128.04616422513493,1.2696603221357352,124,137,14,137.20451040863531,2.3778096413291108,134,139,6,128.0,0.0,128.0,128.0,1,128.0,0.0,128.0,128.0,1,36.53681572860447,2.069629764729148,34.0,41.0,8,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,1
attack_free,0x110,10376,100.00046727710844,0.13309506870971785,99.10899999999856,100.89400000001092,8.0,2.0,0.0,224.0,0.0,224,224,1,60.0,0.0,60,60,1,48.0,0.0,48.0,48.0,1,9.0,0.0,9.0,9.0,1,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,1
attack_free,0x120,5188,200.00091652207442,0.11668123034595128,199.387999999999,200.64299999999946,4.0,0.0,0.0,0.0,0.0,0,0,1,0.0,0.0,0,0,1,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,1,,,,,0,,,,,0,,,,,0,,,,,0
