source,can_id,count,mean_iat_ms,std_iat_ms,min_iat_ms,max_iat_ms,mean_dlc,mean_entropy,std_entropy,byte0_mean,byte0_std,byte0_min,byte0_max,byte0_unique_vals,byte1_mean,byte1_std,byte1_min,byte1_max,byte1_unique_vals,byte2_mean,byte2_std,byte2_min,byte2_max,byte2_unique_vals,byte3_mean,byte3_std,byte3_min,byte3_max,byte3_unique_vals,byte4_mean,byte4_std,byte4_min,byte4_max,byte4_unique_vals,byte5_mean,byte5_std,byte5_min,byte5_max,byte5_unique_vals,byte6_mean,byte6_std,byte6_min,byte6_max,byte6_unique_vals,byte7_mean,byte7_std,byte7_min,byte7_max,byte7_unique_vals
fuzzy,0x18,3051,113.81580459016392,130.13470469793032,29.694000000006326,1280.079999999998,8.0,2.0463538296127095,0.0795581462527951,40.0,0.0,40,40,1,0.0,0.0,0,0,1,0.006227466404457555,0.07868109139882298,0.0,1.0,2,96.0,0.0,96.0,96.0,1,0.007866273352999017,0.08835696868158929,0.0,1.0,2,26.3992133726647,42.87200071471652,0.0,96.0,2,160.0,0.0,160.0,160.0,1,20.0,0.0,20.0,20.0,1
fuzzy,0x34,173,2015.2811104651164,1501.6950684733415,626.3199999999997,8000.604999999979,8.0,0.0,0.0,0.0,0.0,0,0,1,0.0,0.0,0,0,1,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,1
fuzzy,0x42,158,2197.1993885350316,1946.6590182379514,963.0749999999964,11999.989,8.0,0.954434002924965,0.0,255.0,0.0,255,255,1,0.0,0.0,0,0,1,255.0,0.0,255.0,255.0,1,255.0,0.0,255.0,255.0,1,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,1
fuzzy,0x43,161,2162.2520062500002,1900.395574458063,963.0679999999998,13999.911999999995,8.0,0.5435644431995964,0.0,1.0,0.0,1,1,1,0.0,0.0,0,0,1,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,1
fuzzy,0x44,162,2155.0324844720494,1628.8635538533802,962.3209999999958,10000.160999999991,8.0,1.0612781244591327,2.227331169803193e-16,0.0,0.0,0,0,1,0.0,0.0,0,0,1,0.0,0.0,0.0,0.0,1,255.0,0.0,255.0,255.0,1,88.0,0.0,88.0,88.0,1,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,1
fuzzy,0x50,731,475.107195890411,533.0835476385208,29.563000000003115,5999.894000000012,4.0,0.01886693312695658,0.12235542044956581,0.0,0.0,0,0,1,0.047879616963064295,0.33377092752876897,0,3,4,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,1,,,,,0,,,,,0,,,,,0,,,,,0
fuzzy,0x80,16395,21.185812553373182,21.8411093000547,8.20099999999968,310.3319999999883,8.0,2.6634052806112307,0.18662753113274128,0.0,0.0,0,0,1,23.0,0.0,23,23,1,171.90558096980786,76.33989963099535,0.0,254.0,128,9.170051845074719,0.3758521249214368,8.0,10.0,3,24.36895394937481,1.890132160138101,19.0,36.0,18,19.518999695028974,2.573487818263413,16.0,24.0,7,24.43519365660262,1.893850982003634,19.0,36.0,18,128.14156755108266,73.75794121158908,0.0,255.0,256
fuzzy,0x81,16627,20.890180620714542,20.442106017958373,8.17299999999932,290.39900000000074,8.0,2.0,0.0,64.0,0.0,64,64,1,132.0,0.0,132,132,1,141.6426294581103,3.849903289360502,133.0,144.0,4,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,1,127.80621880074578,75.81407009841435,2.0,250.0,64
fuzzy,0xa0,1638,212.02781185094685,198.42446239323695,84.54400000000106,2500.6659999999956,8.0,2.7383339295212084,0.05725701186421294,67.66666666666667,2.429708208660106,64,88,21,131.32722832722834,2.754083503041637,124,136,13,170.63492063492063,76.53205589050205,0.0,254.0,111,9.174603174603174,0.37974325962095173,9.0,10.0,2,0.0,0.0,0.0,0.0,1,35.623931623931625,0.6136016231642769,34.0,42.0,7,0.0,0.0,0.0,0.0,1,2.0,0.0,2.0,2.0,1
fuzzy,0xa1,1560,222.69960872354073,208.4869584014402,84.53000000000088,1602.0620000000179,8.0,1.9938335703156385,0.17192271747207455,128.20192307692307,1.0465111195130323,124,135,11,143.55448717948718,0.5235742053621277,142,144,3,128.0,0.0,128.0,128.0,1,128.0,0.0,128.0,128.0,1,36.43910256410256,1.1917545303228585,35.0,45.0,10,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,1
