source,can_id,count,mean_iat_ms,std_iat_ms,min_iat_ms,max_iat_ms,mean_dlc,mean_entropy,std_entropy,byte0_mean,byte0_std,byte0_min,byte0_max,byte0_unique_vals,byte1_mean,byte1_std,byte1_min,byte1_max,byte1_unique_vals,byte2_mean,byte2_std,byte2_min,byte2_max,byte2_unique_vals,byte3_mean,byte3_std,byte3_min,byte3_max,byte3_unique_vals,byte4_mean,byte4_std,byte4_min,byte4_max,byte4_unique_vals,byte5_mean,byte5_std,byte5_min,byte5_max,byte5_unique_vals,byte6_mean,byte6_std,byte6_min,byte6_max,byte6_unique_vals,byte7_mean,byte7_std,byte7_min,byte7_max,byte7_unique_vals
impersonation,0x18,2355,205.01395627008014,48.30545549209047,39.78586196899414,1200.026035308838,8.0,2.0,0.0,41.270488322717625,8.212313809437944,40,168,3,0.0,0.0,0,0,1,0.0,0.0,0.0,0.0,1,96.0,0.0,96.0,96.0,1,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,1,160.0,0.0,160.0,160.0,1,20.0,0.0,20.0,20.0,1
impersonation,0x34,470,1025.5928954590104,204.91514906250177,999.748945236206,4000.009059906006,8.0,0.0,0.0,0.0,0.0,0,0,1,0.0,0.0,0,0,1,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,1
impersonation,0x42,472,1023.4425989179348,164.49933207475425,999.6190071105957,3000.0908374786377,8.0,0.9544340029249648,2.222801960840583e-16,255.0,0.0,255,255,1,0.0,0.0,0,0,1,255.0,0.0,255.0,255.0,1,255.0,0.0,255.0,255.0,1,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,1
impersonation,0x43,470,1027.8069617143317,176.6920521180775,999.6190071105957,3000.091075897217,8.0,0.5435644431995964,0.0,1.0,0.0,1,1,1,0.0,0.0,0,0,1,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,1
impersonation,0x44,474,1019.1151440521627,185.4304101967655,39.988040924072266,3000.8389949798584,8.0,1.0612781244591325,4.445584009052264e-16,0.0,0.0,0,0,1,0.0,0.0,0,0,1,0.0,0.0,0.0,0.0,1,255.0,0.0,255.0,255.0,1,92.20886075949367,0.406924173399263,92.0,93.0,2,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,1
impersonation,0x50,2340,206.3288097454983,45.985765067659884,199.6469497680664,1000.1258850097656,4.0,0.0,0.0,0.0,0.0,0,0,1,0.0,0.0,0,0,1,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,1,,,,,0,,,,,0,,,,,0,,,,,0
impersonation,0x80,47371,10.188719167824106,3.568687070157341,8.36801528930664,630.1331520080566,8.0,2.7645244776163747,0.1264910171143227,0.0,0.0,0,0,1,23.0,0.0,23,23,1,178.39116759198666,68.73773276696731,0.0,254.0,128,9.224166684258302,0.41703675301366144,9.0,10.0,2,25.249287538789556,1.2232630381531162,21.0,31.0,11,18.01087163032235,1.00701991507617,17.0,21.0,3,25.32087141922273,1.2161112733854202,21.0,31.0,11,128.0783179582445,73.52567624544581,0.0,255.0,256
impersonation,0x81,47306,10.2027190788744,3.6120358416782685,8.372068405151367,630.1348209381104,8.0,1.99055413876068,0.0574538604774636,77.0,0.0,77,77,1,132.0,0.0,132,132,1,95.57449372172663,1.7714573605086017,93.0,99.0,7,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,1,127.6034541073014,72.09410024143888,0.0,254.0,112
impersonation,0xa0,4709,102.50631863521942,22.497959802006335,89.82610702514648,708.4410190582275,8.0,2.7414262718303775,0.049077049398198236,66.10469314079423,1.2432815440553038,63,69,7,123.18836270970482,2.9172210926236035,118,126,9,178.20556381397324,68.22535160153407,0.0,254.0,127,9.222764918241666,0.4161459903616428,9.0,10.0,2,0.0,0.0,0.0,0.0,1,35.31471650031854,0.4863450081753122,34.0,37.0,4,0.0,0.0,0.0,0.0,1,2.0,0.0,2.0,2.0,1
impersonation,0xa1,4700,102.70264996546688,23.267703784717007,89.82396125793457,708.4429264068604,8.0,2.0048529324568958,0.17086429626501298,128.5827659574468,0.7581302313321608,125,132,8,140.51851063829787,0.4997104022936462,140,141,2,128.0,0.0,128.0,128.0,1,128.0,0.0,128.0,128.0,1,36.102765957446806,0.6921817431550622,34.0,38.0,5,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,1
impersonation,0x110,4697,102.76896868288213,22.340704208011466,98.58512878417969,700.0031471252441,8.0,2.0,0.0,224.0,0.0,224,224,1,60.0,0.0,60,60,1,48.0,0.0,48.0,48.0,1,9.0,0.0,9.0,9.0,1,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,1
